"id","status","template_id","accession_number","attempts","created_at"
373,completed,100,"516316",3,2022-07-04 16:40:12.524 +0930
374,completed,100,"516325",2,2022-07-04 17:13:04.310 +0930
377,completed,110,"516377",3,2022-07-05 10:07:11.349 +0930
378,completed,96,"516382",4,2022-07-05 10:11:11.680 +0930
380,completed,110,"516410",3,2022-07-05 10:42:53.935 +0930
381,completed,100,"516423",1,2022-07-05 11:30:14.167 +0930
379,failed,110,"516391",8,2022-07-05 10:22:11.256 +0930
375,failed,110,"516354",8,2022-07-05 09:37:41.727 +0930
264,failed,96,"515163",8,2022-06-24 15:34:09.713 +0930
376,failed,110,"516371",8,2022-07-05 10:02:08.968 +0930
383,completed,96,"516474",2,2022-07-05 13:54:41.467 +0930
384,completed,100,"516515",2,2022-07-05 16:02:29.887 +0930
382,failed,100,"516438",8,2022-07-05 12:02:24.429 +0930
386,completed,96,"516532",3,2022-07-05 16:37:25.574 +0930
385,completed,100,"516528",3,2022-07-05 16:34:07.116 +0930
387,completed,100,"516551",2,2022-07-06 09:33:57.580 +0930
510,completed,96,"517849",3,2022-07-15 11:53:51.317 +0930
436,completed,96,"516944",3,2022-07-08 11:50:21.038 +0930
390,completed,100,"516598",3,2022-07-06 11:18:55.994 +0930
513,completed,100,"517883",2,2022-07-15 14:48:07.361 +0930
389,completed,96,"516577",3,2022-07-06 10:14:15.677 +0930
438,completed,96,"516948",3,2022-07-08 12:03:40.786 +0930
427,completed,110,"516866",4,2022-07-07 16:23:10.751 +0930
696,completed,96,"519304",3,2022-07-28 14:11:46.749 +0930
391,completed,100,"516608",3,2022-07-06 11:49:14.826 +0930
392,completed,100,"516614",3,2022-07-06 11:57:54.674 +0930
504,failed,100,"517796",8,2022-07-15 09:42:56.821 +0930
411,completed,96,"516718",4,2022-07-07 09:16:58.672 +0930
410,completed,100,"516715",4,2022-07-07 09:06:18.280 +0930
412,completed,96,"516728",3,2022-07-07 09:44:23.286 +0930
437,completed,100,"516947",4,2022-07-08 11:58:48.280 +0930
448,completed,110,"517069",4,2022-07-11 09:45:10.276 +0930
440,completed,96,"516958",3,2022-07-08 12:42:37.496 +0930
511,completed,100,"517872",3,2022-07-15 13:59:51.951 +0930
422,failed,100,"516818",8,2022-07-07 13:54:51.397 +0930
451,completed,96,"517093",3,2022-07-11 10:30:05.732 +0930
425,failed,96,"516858",8,2022-07-07 16:08:37.832 +0930
408,completed,96,"516700",5,2022-07-07 08:35:22.177 +0930
441,completed,96,"516976",2,2022-07-08 14:00:03.732 +0930
396,completed,100,"516638",2,2022-07-06 13:19:13.778 +0930
452,completed,100,"517104",2,2022-07-11 10:44:47.576 +0930
413,completed,100,"516746",3,2022-07-07 10:24:27.686 +0930
395,completed,100,"516637",3,2022-07-06 13:16:50.024 +0930
515,failed,100,"517892",8,2022-07-15 15:16:54.539 +0930
514,failed,110,"517884",8,2022-07-15 14:50:16.308 +0930
512,failed,100,"517877",8,2022-07-15 14:17:26.733 +0930
414,completed,100,"516756",2,2022-07-07 10:53:26.487 +0930
476,completed,96,"517332",3,2022-07-12 11:54:45.592 +0930
393,completed,96,"516629",5,2022-07-06 12:47:02.395 +0930
